ID,Title,Slug,Date,Type,File / URL,Suggested,Decision,Notes
8379,London RSPF staff safety demonstration statement - May 2026,london-rspf-staff-safety-demonstration-statement-may-2026,2026-05-15,pdf,https://lasunison.co.uk/wp-content/uploads/2026/05/London-RSPF-staff-safety-demonstration-statement-May-2026.pdf,Keep (recent),,
8293,Retired Members Newsletter WinterSpring 2025,retired-members-newsletter-winterspring-2025,2025-04-21,pdf,https://lasunison.co.uk/wp-content/uploads/2025/04/Retired-Members-Newsletter-WinterSpring-2025.pdf,Keep (recent),,
8280,Guide to Claims,guide-to-claims,2025-02-16,pdf,https://lasunison.co.uk/wp-content/uploads/2025/02/Guide-to-Claims.pdf,Keep (form/reference),,
8278,EDUCATION COURSE DATES - JANUARY - JULY 2025 - 13.1.2025,education-course-dates-january-july-2025-13-1-2025,2025-02-16,vnd.openxmlformats-officedocument.wordprocessingml.document,https://lasunison.co.uk/wp-content/uploads/2025/02/EDUCATION-COURSE-DATES-JANUARY-JULY-2025-13.1.2025.docx,Keep (recent),,
7396,Functional Skills 2024,functional-skills-2024,2023-11-28,pdf,https://lasunison.co.uk/wp-content/uploads/2023/11/Functional-Skills-2024.pdf,Keep (recent),,
7121,Branch-briefing-England-pay-deal-implementation,branch-briefing-england-pay-deal-implementation,2023-05-09,pdf,https://lasunison.co.uk/wp-content/uploads/2023/05/Branch-briefing-England-pay-deal-implementation.pdf,Keep (recent),,
7093,Green,green-3,2023-04-25,pdf,https://lasunison.co.uk/wp-content/uploads/2023/04/Green-2.pdf,Keep (recent),,
7092,Green,green-2,2023-04-25,pdf,https://lasunison.co.uk/wp-content/uploads/2023/04/Green-1.pdf,Keep (recent),,
7091,Green,green,2023-04-25,pdf,https://lasunison.co.uk/wp-content/uploads/2023/04/Green.pdf,Keep (recent),,
7080,6000,6000,2023-04-20,pdf,https://lasunison.co.uk/wp-content/uploads/2023/04/6000.pdf,Keep (recent),,
6980,LAS+Annual+Leave+Policy,lasannualleavepolicy,2023-03-05,pdf,https://lasunison.co.uk/wp-content/uploads/2023/03/LASAnnualLeavePolicy.pdf,Keep (form/reference),,
6979,Flexible+Working+Policy+1,flexibleworkingpolicy1,2023-03-05,pdf,https://lasunison.co.uk/wp-content/uploads/2023/03/FlexibleWorkingPolicy1.pdf,Keep (form/reference),,
6978,The-case-for-investment-in-NHS-pay-2023,the-case-for-investment-in-nhs-pay-2023-2,2023-03-05,pdf,https://lasunison.co.uk/wp-content/uploads/2023/03/The-case-for-investment-in-NHS-pay-2023.pdf,Keep (recent),,
6977,26274_Notification_of_workplace_representative_NEW (1),26274_notification_of_workplace_representative_new-1,2023-03-05,pdf,https://lasunison.co.uk/wp-content/uploads/2023/03/26274_Notification_of_workplace_representative_NEW-1.pdf,Keep (recent),,
6877,The-case-for-investment-in-NHS-pay-2023,the-case-for-investment-in-nhs-pay-2023,2023-01-14,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/The-case-for-investment-in-NHS-pay-2023.pdf,Keep (recent),,
6863,Unison London Map 2019 version,unison-london-map-2019-version,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/Unison-London-Map-2019-version.pdf,Keep (recent),,
6862,Unison London HandS Map 2022,unison-london-hands-map-2022,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/Unison-London-HandS-Map-2022.pdf,Keep (recent),,
6861,LAS be on the safe side poster,las-be-on-the-safe-side-poster,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/LAS-be-on-the-safe-side-poster.pdf,Keep (form/reference),,
6860,info poster,info-poster,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/info-poster.pdf,Keep (form/reference),,
6859,essential cover poster,essential-cover-poster,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/essential-cover-poster.pdf,Keep (form/reference),,
6858,functional skills 2023,functional-skills-2023-v3,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/functional-skills-2023-v3.pdf,Keep (recent),,
6857,book grant poster 2019,book-grant-poster-2019,2023-01-04,pdf,https://lasunison.co.uk/wp-content/uploads/2023/01/book-grant-poster-2019.pdf,Keep (form/reference),,
6830,What is a Trade Union Leaflet,on-line-catalogue221582,2022-12-28,pdf,https://lasunison.co.uk/wp-content/uploads/2022/12/On-line-Catalogue221582.pdf,Keep (recent),,
6775,your health and safety rep,your-health-and-safety-rep,2022-12-28,pdf,https://lasunison.co.uk/wp-content/uploads/2022/12/your-health-and-safety-rep.pdf,Keep (recent),,
6774,Your LAS Steward is,your-las-steward-is,2022-12-28,pdf,https://lasunison.co.uk/wp-content/uploads/2022/12/Your-LAS-Steward-is.pdf,Keep (recent),,
6718,I Support Ambulance Workers - White,i-support-ambulance-workers-white-2,2022-12-24,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Support LAS Placard Version 2 (1)_Part4.pdf,Keep (recent),,
6716,We support ambulance workers - White,we-support-ambulance-workers-white-2,2022-12-24,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Support LAS Placard Version 2 (1)_Part3.pdf,Keep (recent),,
6714,We support ambulance workers - Purple,we-support-ambulance-workers-purple-2,2022-12-24,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Support LAS Placard Version 2 (1)_Part2.pdf,Keep (recent),,
6712,I Support Ambulance Workers - Purple,i-support-ambulance-workers-purple-2,2022-12-24,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Support LAS Placard Version 2 (1)_Part1.pdf,Keep (recent),,
6449,DRAFT. LAS Annual Leave Policy,draft-las-annual-leave-policy-3,2022-09-24,pdf,https://lasunison.co.uk/wp-content/uploads/2022/09/DRAFT.-LAS-Annual-Leave-Policy.pdf,Keep (form/reference),,
6445,Draft - LAS Annual Leave Policy,draft-las-annual-leave-policy-2,2022-09-22,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/DRAFT. LAS Annual Leave Policy.pdf,Keep (form/reference),,
6336,Get help with school clothing 2022 poster,get-help-with-school-clothing-2022-poster-2,2022-06-06,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2022 School Clothing Grant.pdf,Keep (form/reference),,
6196,Functional Skills,functional-skills-2,2022-03-28,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/functional skills 2022.pdf,Keep (recent),,
5931,Annual Report 2022,annual-report-2022-2,2022-03-13,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/AGM Annual Report 2022 v2.pdf,Keep (recent),,
5909,OUT IN LONDON - GLR LGBT+ Newsletter Feb 2022,out-in-london-glr-lgbt-newsletter-feb-2022-2,2022-02-08,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Out in London - GLR LGBT+ Newsletter Feb 2022.pdf,Keep (recent),,
5895,GL Regional Retired Members Committee - WINTER NEWSLETTER JANUARY 2022,gl-regional-retired-members-committee-winter-newsletter-january-2022-2,2022-01-24,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Jan 22 Newsletter electronic.pdf,Keep (recent),,
5882,agm 2022,agm-2022,2022-01-19,pdf,https://lasunison.co.uk/wp-content/uploads/2021/02/AGM-2022.pdf,Keep (form/reference),,
5858,COVID-19 vaccination status requirements in the workplace,covid-19-vaccination-status-requirements-in-the-workplace-2,2021-11-27,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/COVID-19-vaccination-status-requirements-in-the-workplace-v3i.pdf,Keep (recent),,
