ID,Title,Slug,Old URL,Date,Year,Categories,Tags,Words,Featured img,Suggested,Decision,Target collection,Notes
8393,Response to the LAS CEO on the service support for the London Pride March 2026,response-to-the-las-ceo-on-the-service-support-for-the-london-pride-march-2026,https://lasunison.co.uk/response-to-the-las-ceo-on-the-service-support-for-the-london-pride-march-2026,2026-06-12,2026,Branch News | General | LAS News,,736,Y,Keep (recent),,,
8390,Holiday Pay Errors,holiday-pay-errors,https://lasunison.co.uk/holiday-pay-errors,2026-06-01,2026,General,,447,,Keep (recent),,,
8380,Statement from the London Social Partnership Forum on staff safety around this weekend's far right march,8380-2,https://lasunison.co.uk/8380-2,2026-05-15,2026,General,,89,Y,Keep (recent),,,
8369,AfC pay structure negotiations to start next week,afc-pay-structure-negotiations-to-start-next-week,https://lasunison.co.uk/afc-pay-structure-negotiations-to-start-next-week,2026-04-24,2026,Pay | Agenda for Change,afc | ambulance | consultation | NHS | pay | agenda for change,105,Y,Keep (recent),,,
8364,111 Under Pressure,111-under-pressure,https://lasunison.co.uk/111-under-pressure,2026-03-27,2026,UNISON News | NHS News,las | NHS | survey | 111 | IUC | urgent care | call takers,32,Y,Keep (recent),,,
8355,"NHS pay award will leave staff angry, says UNISON",nhs-pay-award-will-leave-staff-angry-says-unison,https://lasunison.co.uk/nhs-pay-award-will-leave-staff-angry-says-unison,2026-02-16,2026,Pay,government | pay | pay review body,397,Y,Keep (recent),,,
8348,999 Retirement Emergency,999-retirement-emergency,https://lasunison.co.uk/999-retirement-emergency,2026-01-20,2026,Pensions | Retired | UNISON News | Campaign,ambulance | pension | campaign | service | retirement | age | emergency,518,Y,Keep (recent),,,
8346,UNISON ambulance retirement age campaign launch!,unison-ambulance-retirement-age-campaign-launch,https://lasunison.co.uk/unison-ambulance-retirement-age-campaign-launch,2026-01-15,2026,Retired | Action | Campaign,ambulance | survey | campaign | retirement | age,547,,Keep (recent),,,
8342,NHS pay (England) 2026/27 Branch briefing Nov 2025,nhs-pay-england-2026-27-branch-briefing-nov-2025,https://lasunison.co.uk/nhs-pay-england-2026-27-branch-briefing-nov-2025,2025-12-04,2025,Pay | UNISON News | Action,government | pay | action | pay review body | PRB | briefing | industrial action | HSGE,1902,,Keep (recent),,,
8338,What’s the right age to retire?,whats-the-right-age-to-retire,https://lasunison.co.uk/whats-the-right-age-to-retire,2025-11-06,2025,Retired,government | pension | retirement | age,303,Y,Keep (recent),,,
8336,NHS pay figure is an insult to staff,nhs-pay-figure-is-an-insult-to-staff,https://lasunison.co.uk/nhs-pay-figure-is-an-insult-to-staff,2025-11-04,2025,Pay,government | pay | pay review body | rise | PRB | salary | wages | inflation | percent,185,Y,Keep (recent),,,
8332,New functional skills course announced,new-functional-skills-course-announced,https://lasunison.co.uk/new-functional-skills-course-announced,2025-10-23,2025,Education,Education | functional skills | GCSE | learning | tuition,172,Y,Keep (recent),,,
8327,Statement on the Manchester synagogue attack,statement-on-the-manchester-synagogue-attack,https://lasunison.co.uk/statement-on-the-manchester-synagogue-attack,2025-10-06,2025,Other,solidarity | attacks | terrorism | politics | Manchester | antisemitism,140,Y,Keep (recent),,,
8320,UNISON Green Week: 19th – 26th September,unison-green-week-19th-26th-september,https://lasunison.co.uk/unison-green-week-19th-26th-september,2025-08-31,2025,Environment,environment | green | giveaway | seeds,108,Y,Keep (recent),,,
8296,NHS pay (England),nhs-pay-england-2,https://lasunison.co.uk/nhs-pay-england-2,2025-06-02,2025,Pay,government | pay | PRB | award,333,Y,Keep (recent),,,
8288,Briefing on HSGE Ballot Strategy,briefing-on-hsge-ballot-strategy,https://lasunison.co.uk/briefing-on-hsge-ballot-strategy,2025-04-04,2025,Pay | Action,ballot | government | labour | pay | talks | action | pay review body | PRB | briefing | Strategy,177,Y,Keep (recent),,,
8285,Delays to health workers’ pay rise causing huge problems for NHS,delays-to-health-workers-pay-rise-causing-huge-problems-for-nhs,https://lasunison.co.uk/delays-to-health-workers-pay-rise-causing-huge-problems-for-nhs,2025-04-02,2025,Pay,government | labour | pay | pay review body | rise | PRB | April,689,Y,Keep (recent),,,
7806,Thousands of UNISON members write to MPs over NHS pay,thousands-of-unison-members-write-to-mps-over-nhs-pay,https://lasunison.co.uk/thousands-of-unison-members-write-to-mps-over-nhs-pay,2025-01-28,2025,Current | Pay | Action,government | pay | campaign | timefortalks,387,Y,Keep (recent),,,
7802,Latest Briefing for NHS Pay 2025/2026,latest-briefing-for-nhs-pay-2025-2026,https://lasunison.co.uk/latest-briefing-for-nhs-pay-2025-2026,2025-01-16,2025,General,government | pay | unison | campaign | briefing,38,Y,Keep (recent),,,
7679,Annual General Meeting 2025,annual-general-meeting-2025,https://lasunison.co.uk/annual-general-meeting-2025,2024-12-23,2024,Event,agm | election | meeting | reps,118,Y,Keep (recent),,,
7669,Government position on 2025/26 NHS PRB round (England),government-position-on-2025-26-nhs-prb-round-england,https://lasunison.co.uk/government-position-on-2025-26-nhs-prb-round-england,2024-12-20,2024,Pay,ambulance | government | pay | PRB,107,Y,Keep (recent),,,
7625,UNISON will stand up to the politics of hate,unison-will-stand-up-to-the-politics-of-hate,https://lasunison.co.uk/unison-will-stand-up-to-the-politics-of-hate,2024-08-06,2024,General,branch | unison | unity | riots | hope not hate | unity is our strength,537,Y,Keep (recent),,,
7617,NHS pay 2024,nhs-pay-2024,https://lasunison.co.uk/nhs-pay-2024,2024-08-01,2024,Pay | NHS News,NHS | pay | banding | rise | working | week,843,Y,Keep (recent),,,
7607,New Qualified Paramedics (NQP) Survey 2024,new-qualified-paramedics-nqp-survey-2024,https://lasunison.co.uk/new-qualified-paramedics-nqp-survey-2024,2024-07-30,2024,General,ambulance | consultation | las | NQP | paramedic | survey,136,Y,Keep (recent),,,
7558,LAS UNISON statement on job evaluation,las-unison-statement-on-job-evaluation,https://lasunison.co.uk/las-unison-statement-on-job-evaluation,2024-05-31,2024,Pay,pay | banding | job evaluation | managers | staff side,454,Y,Keep (recent),,,
7548,School Uniform Grant,school-uniform-grant,https://lasunison.co.uk/school-uniform-grant,2024-05-24,2024,Welfare,welfare | uniform | there for you | finance | assistance | grant | aid | help | school | income,402,Y,Keep (recent),,,
7536,UNISON's SGE Elections 2024,unisons-sge-elections-2024,https://lasunison.co.uk/unisons-sge-elections-2024,2024-04-20,2024,Elections,service | group | executive | elections,198,Y,Keep (recent),,,
7529,UNISON beats government in Supreme Court,unison-beats-government-in-supreme-court,https://lasunison.co.uk/unison-beats-government-in-supreme-court,2024-04-17,2024,Legal | Action,government | strike | Legal | law | court | supreme | minimum | service,521,Y,Keep (recent),,,
7489,"Ambulance workplace culture needs to change, says UNISON",ambulance-workplace-culture-needs-to-change-says-unison,https://lasunison.co.uk/ambulance-workplace-culture-needs-to-change-says-unison,2024-02-20,2024,Health & Safety | UNISON News | NHS News,ambulance | unison | Health | stress | burn out | harrassement | wellbeing,236,Y,Keep (recent),,,
7482,A proper pay rise. The right banding. A shorter working week. That’s what UNISON members want and it’s what NHS staff deserve.,a-proper-pay-rise-the-right-banding-a-shorter-working-week-thats-what-unison-members-want-and-its-what-nhs-staff-deserve,https://lasunison.co.uk/a-proper-pay-rise-the-right-banding-a-shorter-working-week-thats-what-unison-members-want-and-its-what-nhs-staff-deserve,2024-02-15,2024,Current | Pay,government | NHS | pay | action | fight,506,Y,Keep (recent),,,
7473,"Decent NHS pay rise is crucial if both the workforce and the economy are to grow, say health unions",decent-nhs-pay-rise-is-crucial-if-both-the-workforce-and-the-economy-are-to-grow-say-health-unions,https://lasunison.co.uk/decent-nhs-pay-rise-is-crucial-if-both-the-workforce-and-the-economy-are-to-grow-say-health-unions,2024-02-13,2024,General,government | NHS | pay | talks | Health,646,Y,Keep (recent),,,
7466,"Put pay right and start to solve the NHS’ many problems, says UNISON",put-pay-right-and-start-to-solve-the-nhs-many-problems-says-unison,https://lasunison.co.uk/put-pay-right-and-start-to-solve-the-nhs-many-problems-says-unison,2024-02-12,2024,Pay | UNISON News,government | NHS | pay | talks | Health,992,Y,Keep (recent),,,
7447,Winter fuel grants,winter-fuel-grants,https://lasunison.co.uk/winter-fuel-grants,2024-01-15,2024,Welfare,benefits | unison | welfare | there for you | grant | winter | fuel | financial aid,626,Y,Keep (recent),,,
7430,"Government must hold NHS pay talks early in the new year, says UNISON",government-must-hold-nhs-pay-talks-early-in-the-new-year-says-unison,https://lasunison.co.uk/government-must-hold-nhs-pay-talks-early-in-the-new-year-says-unison,2023-12-22,2023,UNISON News,government | pay | strike | talks | pay review body,287,Y,Keep (recent),,,
7406,LAS UNISON Branch donates £10k to There For You,las-unison-branch-donates-10k-to-there-for-you,https://lasunison.co.uk/las-unison-branch-donates-10k-to-there-for-you,2023-11-29,2023,Benefits | Welfare,welfare | crisis | there for you | finance | assistance | money | loan | hardship | cost of living,54,Y,Keep (recent),,,
7394,New functional skills courses announced,7394-2,https://lasunison.co.uk/7394-2,2023-11-28,2023,Education,Education | functional skills | GCSE | mathematics | english | qualifications,178,Y,Keep (recent),,,
7387,Flexible retirement options for NHS staff,flexible-retirement-options-for-nhs-staff,https://lasunison.co.uk/flexible-retirement-options-for-nhs-staff,2023-11-28,2023,General,,199,Y,Keep (recent),,,
7359,UNISON condemns violence in Israel and Gaza and calls for international law to be upheld,unison-condemns-violence-in-israel-and-gaza-and-calls-for-international-law-to-be-upheld,https://lasunison.co.uk/unison-condemns-violence-in-israel-and-gaza-and-calls-for-international-law-to-be-upheld,2023-10-27,2023,International,International | israel | Palestine | Gaza | crisis | humanitarian,208,Y,Keep (recent),,,
7338,UNISON launches its campaign for a National Care Service in England,unison-launches-its-campaign-for-a-national-care-service-in-england,https://lasunison.co.uk/unison-launches-its-campaign-for-a-national-care-service-in-england,2023-10-13,2023,Current,EAC | campaign | care,347,Y,Keep (recent),,,
7311,Your branch - working for you,your-branch-working-for-you,https://lasunison.co.uk/your-branch-working-for-you,2023-09-27,2023,Legal,A&E Support | benefits | branch | las | Legal | Compensation,35,Y,Keep (recent),,,
7296,LAS UNISON nominates Anu Prashar for Labour Link Seat,las-unison-nominates-anu-prashar-for-labour-link-seat,https://lasunison.co.uk/las-unison-nominates-anu-prashar-for-labour-link-seat,2023-09-18,2023,Labour Link | Elections,election | labour | labour link | vote,56,Y,Keep (recent),,,
7242,High Court finds strike-breaking legislation unlawful following UNISON case,high-court-finds-strike-breaking-legislation-unlawful-following-unison-case,https://lasunison.co.uk/high-court-finds-strike-breaking-legislation-unlawful-following-unison-case,2023-07-13,2023,Action,ambulance | government | strike | Legal | law,436,Y,Keep (recent),,,
7213,February's Strike Day Payments,februarys-strike-day-payments,https://lasunison.co.uk/februarys-strike-day-payments,2023-06-27,2023,Pay,pay | strike | welfare | claim,180,Y,Keep (recent),,,
7196,UNISON Ambulance Survey 2023,unison-ambulance-survey-2023,https://lasunison.co.uk/unison-ambulance-survey-2023,2023-06-16,2023,Other,ambulance | survey | unison,210,Y,Keep (recent),,,
7183,UNISON victory for non-AfC staff bonus,unison-victory-for-non-afc-staff-bonus,https://lasunison.co.uk/unison-victory-for-non-afc-staff-bonus,2023-06-14,2023,Pay,ambulance | pay | bonus | make ready,170,Y,Keep (recent),,,
7180,Branch Secretary appointed to NEC,branch-secretary-appointed-to-nec,https://lasunison.co.uk/branch-secretary-appointed-to-nec,2023-06-14,2023,Branch Secretary | National Executive Council | Elections,branch secretary | election | NEC,57,Y,Keep (recent),,,
7150,Protect the right to strike,protect-the-right-to-strike,https://lasunison.co.uk/protect-the-right-to-strike,2023-05-24,2023,Branch Secretary,branch secretary | government | strike | TUC,27,Y,Keep (recent),,,
7134,Emergency protest: Protect the right to strike - Monday 22 May,emergency-protest-protect-the-right-to-strike-monday-22-may,https://lasunison.co.uk/emergency-protest-protect-the-right-to-strike-monday-22-may,2023-05-16,2023,Action,strike | TUC | action | protest | righttostrike | parliament | law | bill,136,Y,Keep (recent),,,
7122,PAY DEAL IMPLEMENTATION: BRANCH BRIEFING,pay-deal-implementation-branch-briefing,https://lasunison.co.uk/pay-deal-implementation-branch-briefing,2023-05-09,2023,General | Pay,ambulance | pay | pay deal,14,Y,Drop (stub),,,
7110,NHS Pay deal 2023,nhs-pay-deal-2023,https://lasunison.co.uk/nhs-pay-deal-2023,2023-05-04,2023,Pay,ambulance | government | pay | strike | pay deal | agreement,543,Y,Keep (recent),,,
7100,Strike Day Payments,strike-day-payments,https://lasunison.co.uk/strike-day-payments,2023-04-27,2023,Pay,ambulance | pay | strike | welfare,207,Y,Keep (recent),,,
7079,6000 members!,6000-members,https://lasunison.co.uk/6000-members,2023-04-20,2023,Membership,ambulance | green family | las | unison | membership,18,Y,Keep (recent),,,
7067,BRANCH NOMINATIONS FOR NEC ANNOUNCED,branch-nominations-for-nec-announced,https://lasunison.co.uk/branch-nominations-for-nec-announced,2023-04-12,2023,Branch Secretary | UNISON News | National Executive Council | Elections | NEC,ambulance | branch secretary | election | NEC | unison,324,Y,Keep (recent),,,
7025,ALL MEMBERS PAY CAMPAIGN UPDATE,all-members-pay-campaign-update,https://lasunison.co.uk/all-members-pay-campaign-update,2023-03-17,2023,Branch Secretary | Communications | Pay | UNISON News | NHS News,ambulance | branch | branch secretary | communications | government | pay | strike | unison | vote,454,Y,Keep (recent),,,
7014,UNISON to recommend acceptance of NHS pay offer,unison-to-recommend-acceptance-of-nhs-pay-offer,https://lasunison.co.uk/unison-to-recommend-acceptance-of-nhs-pay-offer,2023-03-16,2023,Current | General | Pay | UNISON News,agm | ambulance | branch | general secretary | government | unison | deal | head of health | gorton,414,Y,Keep (recent),,,
5523,ANNUAL GENERAL MEETING - UPDATE,annual-general-meeting-3,https://lasunison.co.uk/annual-general-meeting-3,2023-03-07,2023,Branch News | Event,agm | ambulance | branch | branch secretary | general secretary | unison,272,Y,Keep (recent),,,
6984,LAS UNISON Strike Update,las-unison-strike-update,https://lasunison.co.uk/las-unison-strike-update,2023-03-06,2023,Branch News | Pay | UNISON News,afc | government | las | NHS | pay | strike | talks | unison,555,Y,Keep (recent),,,
6967,UNISON to suspend strike to enter NHS pay talks with government,unison-to-suspend-strike-to-enter-nhs-pay-talks-with-government,https://lasunison.co.uk/unison-to-suspend-strike-to-enter-nhs-pay-talks-with-government,2023-03-03,2023,Pay | UNISON News,afc | ambulance | consultation | government | NHS | pay | strike | talks | unison,500,Y,Keep (recent),,,
6957,NHS Pay Update,nhs-pay-update,https://lasunison.co.uk/nhs-pay-update,2023-03-02,2023,Pay | UNISON News,afc | consultation | government | NHS | pay | strike | talks | unison,214,Y,Keep (recent),,,
6946,Mythbuster: NHS pay,mythbuster-nhs-pay,https://lasunison.co.uk/mythbuster-nhs-pay,2023-03-01,2023,Pay | UNISON News,afc | government | NHS | pay | strike | talks | unison,1009,Y,Keep (recent),,,
6939,NHS dispute widens to cover most parts of England,nhs-dispute-widens-to-cover-most-parts-of-england,https://lasunison.co.uk/nhs-dispute-widens-to-cover-most-parts-of-england,2023-02-17,2023,Pay | UNISON News,afc | ballot | government | NHS | pay | strike | unison,565,Y,Keep (recent),,,
6921,Final all members briefing for 10th February 2023 Industrial Action,final-all-members-briefing-for-10th-february-2023-industrial-action,https://lasunison.co.uk/final-all-members-briefing-for-10th-february-2023-industrial-action,2023-02-09,2023,Branch News | Pay,afc | branch | government | las | NHS | pay | strike | unison,2036,Y,Keep (recent),,,
6908,Call to take 12 Hour Strike Action - Friday 10th February 2023,call-to-take-12-hour-strike-action-friday-10th-february-2023,https://lasunison.co.uk/call-to-take-12-hour-strike-action-friday-10th-february-2023,2023-02-02,2023,Branch News | Pay,afc | branch | branch secretary | government | las | NHS | pay | strike | talks | unison,199,Y,Keep (recent),,,
6903,Injuries at work – your rights explained,injuries-at-work-your-rights-explained,https://lasunison.co.uk/injuries-at-work-your-rights-explained,2023-01-31,2023,Legal,benefits | branch | health & safety | unison | Thompsons | Legal | Compensation,607,Y,Keep (recent),,,
6900,A Message from our Branch Secretary,a-message-from-our-branch-secretary,https://lasunison.co.uk/a-message-from-our-branch-secretary,2023-01-26,2023,Branch Secretary | Pay,afc | branch secretary | government | NHS | pay | strike | talks | unison,202,Y,Keep (recent),,,
6892,Important Information about Upcoming Industrial Action,important-information-about-upcoming-industrial-action,https://lasunison.co.uk/important-information-about-upcoming-industrial-action,2023-01-21,2023,Pay | UNISON News,afc | government | las | NHS | pay | strike | talks | unison,1049,Y,Keep (recent),,,
6886,Final all members briefing for 23rd January Industrial Action,final-all-members-briefing-for-23rd-january-industrial-action,https://lasunison.co.uk/final-all-members-briefing-for-23rd-january-industrial-action,2023-01-18,2023,Branch News | Pay,afc | branch | government | pay | strike | talks | unison,1756,Y,Keep (recent),,,
6872,Industrial Action Update,industrial-action-update,https://lasunison.co.uk/industrial-action-update,2023-01-13,2023,Branch News | Pay,afc | branch | government | NHS | pay | strike | talks | unison,644,Y,Keep (recent),,,
6867,Final all members briefing for 11th January Industrial Action,final-all-members-briefing-for-11th-january-industrial-action,https://lasunison.co.uk/final-all-members-briefing-for-11th-january-industrial-action,2023-01-10,2023,Branch News | Pay | UNISON News,afc | branch | government | las | NHS | pay | strike | talks | unison,1695,Y,Keep (recent),,,
6878,Strike Solidarity,strike-solidarity,https://lasunison.co.uk/strike-solidarity,2023-01-06,2023,Pay | UNISON News,afc | government | pay | strike | unison,869,Y,Keep (recent),,,
6846,Strike Day - 11 January 2023,strike-day-11-january-2023,https://lasunison.co.uk/strike-day-11-january-2023,2023-01-04,2023,Branch News | Pay,afc | branch | government | las | NHS | pay | strike | talks | unison,522,Y,Keep (recent),,,
6194,FREE tuition and qualification for  Functional Skills,free-tuition-and-qualification-for-functional-skills-2,https://lasunison.co.uk/free-tuition-and-qualification-for-functional-skills-2,2023-01-01,2023,Branch News | Education,ambulance | benefits | branch | EAC | EMT | las | paramedic | unison,218,Y,Keep (recent),,,
6570,London calling – a look back at Wednesday’s strike in the capital,london-calling-a-look-back-at-wednesdays-strike-in-the-capital,https://lasunison.co.uk/london-calling-a-look-back-at-wednesdays-strike-in-the-capital,2022-12-23,2022,Branch News | Pay | UNISON News,afc | branch | branch secretary | general secretary | government | green family | las | NHS | pay | strike | unison,240,Y,Keep (recent),,,
6710,LAS UNISON Dispute Resources,las-unison-dispute-resources,https://lasunison.co.uk/las-unison-dispute-resources,2022-12-21,2022,General | Pay | UNISON News,ambulance | government | las | pay | strike | unison,70,Y,Keep (recent),,,
6556,All Members Briefing for 21st December Industrial Action,all-members-briefing-for-21st-december-industrial-action,https://lasunison.co.uk/all-members-briefing-for-21st-december-industrial-action,2022-12-19,2022,Branch News | Pay,afc | branch | government | las | pay | strike | unison,1212,Y,Keep (recent),,,
6552,Start talking to avert health strikes later this month,start-talking-to-avert-health-strikes-later-this-month,https://lasunison.co.uk/start-talking-to-avert-health-strikes-later-this-month,2022-12-13,2022,Pay | UNISON News,afc | ballot | government | NHS | pay | strike | talks | unison,767,Y,Keep (recent),,,
6547,LONDON AMBULANCE UNISON DATES FOR INDUSTRIAL ACTION INCLUDING 21st DECEMBER 2022,london-ambulance-unison-dates-for-industrial-action-including-21st-december-2022,https://lasunison.co.uk/london-ambulance-unison-dates-for-industrial-action-including-21st-december-2022,2022-12-09,2022,Branch News | Pay,ambulance | ballot | branch | government | las | NHS | pay | strike | talks | unison,944,Y,Keep (recent),,,
6542,Strike Action,strike-action,https://lasunison.co.uk/strike-action,2022-12-06,2022,Branch News | Branch Secretary,ambulance | ballot | branch secretary | government | las | NHS | pay | strike | unison,338,Y,Keep (recent),,,
6537,"Start pay talks to stop NHS strikes this winter, says UNISON",start-pay-talks-to-stop-nhs-strikes-this-winter-says-unison,https://lasunison.co.uk/start-pay-talks-to-stop-nhs-strikes-this-winter-says-unison,2022-12-04,2022,Pay | UNISON News,afc | government | NHS | pay | strike | talks | unison,148,Y,Keep (recent),,,
6532,Boost NHS pay to prevent pre-Christmas strikes,boost-nhs-pay-to-prevent-pre-christmas-strikes,https://lasunison.co.uk/boost-nhs-pay-to-prevent-pre-christmas-strikes,2022-11-29,2022,Pay | UNISON News | Agenda for Change,afc | ballot | government | NHS | pay | strike | unison,596,Y,Keep (recent),,,
6518,UNISON delivers pay petition to Downing Street,unison-delivers-pay-petition-to-downing-street,https://lasunison.co.uk/unison-delivers-pay-petition-to-downing-street,2022-11-15,2022,Branch News | Branch Secretary | Pay | UNISON News,afc | ballot | branch secretary | general secretary | government | las | NHS | pay | talks | unison,646,Y,Keep (recent),,,
6508,Public sector pay cuts are the worst possible response,public-sector-pay-cuts-are-the-worst-possible-response,https://lasunison.co.uk/public-sector-pay-cuts-are-the-worst-possible-response,2022-11-03,2022,Pay | UNISON News,afc | ballot | general secretary | government | NHS | pay | unison | vote,153,Y,Keep (recent),,,
6481,5000 Members & Vote Yes,5000-members-vote-yes,https://lasunison.co.uk/5000-members-vote-yes,2022-10-27,2022,Branch News | Branch Secretary,ambulance | ballot | branch | branch secretary | las | NHS | pay | unison,379,Y,Keep (recent),,,
6474,Vote yes for the NHS online rally,vote-yes-for-the-nhs-online-rally,https://lasunison.co.uk/vote-yes-for-the-nhs-online-rally,2022-10-20,2022,Event | UNISON News,afc | ballot | general secretary | pay | unison,113,Y,Keep (recent),,,
6465,The next phase in the NHS pay campaign,the-next-phase-in-the-nhs-pay-campaign,https://lasunison.co.uk/the-next-phase-in-the-nhs-pay-campaign,2022-10-06,2022,Pay | UNISON News,afc | ballot | government | NHS | pay | strike | talks | unison,952,Y,Keep (recent),,,
6456,"Fee rise for stretched NHS workers is unfair and misjudged, says UNISON",fee-rise-for-stretched-nhs-workers-is-unfair-and-misjudged-says-unison,https://lasunison.co.uk/fee-rise-for-stretched-nhs-workers-is-unfair-and-misjudged-says-unison,2022-10-02,2022,UNISON News,hcpc | paramedic,301,Y,Keep (recent),,,
6446,LAS Annual Leave Policy,las-annual-leave-policy,https://lasunison.co.uk/las-annual-leave-policy,2022-09-22,2022,Branch News | LAS News,afc | ambulance | branch | chief executive | consultation | las | talks,61,Y,Keep (recent),,,
6417,Pledge YES for the NHS,pledge-yes-for-the-nhs,https://lasunison.co.uk/pledge-yes-for-the-nhs,2022-08-13,2022,Pay | UNISON News,afc | ballot | consultation | government | NHS | pay | unison | vote,71,Y,Keep (recent),,,
6407,"£30m ambulance contract as effective as sticking plaster on wound, says UNISON",30m-ambulance-contract-as-effective-as-sticking-plaster-on-wound-says-unison,https://lasunison.co.uk/30m-ambulance-contract-as-effective-as-sticking-plaster-on-wound-says-unison,2022-08-02,2022,UNISON News,,133,Y,Keep (recent),,,
6393,NHS Pay Announcement,nhs-pay-announcement,https://lasunison.co.uk/nhs-pay-announcement,2022-07-21,2022,Pay | UNISON News,afc | consultation | government | NHS | pay | talks | unison,576,Y,Keep (recent),,,
